#STN       LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text      deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
44087    37.026  -76.149 2024 10 18 22 56  MM    MM    MM  0.9  12  4.7 114     MM    MM    MM  18.2    MM   MM     MM
44088    36.612  -74.839 2024 10 18 22 30  MM    MM    MM  3.0  11   MM  MM     MM    MM  16.8  18.8    MM   MM     MM
44089    37.754  -75.325 2024 10 18 22 56  MM    MM    MM  2.0  11  6.7  79     MM    MM    MM  18.6    MM   MM     MM
44090    41.840  -70.329 2024 10 18 23 00  MM    MM    MM  0.8   4  3.3 357     MM    MM  12.0  14.8    MM   MM     MM
44091    39.768  -73.770 2024 10 18 22 56  MM    MM    MM  2.4  11  7.8  94     MM    MM    MM  17.6    MM   MM     MM
44095    35.750  -75.330 2024 10 18 22 56  MM    MM    MM  3.1  12  7.4  65     MM    MM    MM  20.4    MM   MM     MM
44097    40.967  -71.124 2024 10 18 22 56  MM    MM    MM  2.4  11  6.4 113     MM    MM    MM  16.9    MM   MM     MM
44098    42.800  -70.171 2024 10 18 22 56  MM    MM    MM  1.6  10  6.7 126     MM    MM    MM  12.4    MM   MM     MM
44099    36.915  -75.722 2024 10 18 21 56  MM    MM    MM  1.8  12  5.8  58     MM    MM    MM  19.2    MM   MM     MM
44100    36.258  -75.593 2024 10 18 23 00  MM    MM    MM  2.5  13  6.6  68     MM    MM  17.1  19.9    MM   MM     MM
44137    42.260  -62.030 2024 10 18 23 00  60  10.0  13.0  2.1   6   MM  MM 1027.0  +2.1  13.1  17.5    MM   MM     MM
44139    44.240  -57.100 2024 10 18 23 00 350  13.0  16.0  2.6   7   MM  MM 1025.0  +1.6  11.8  16.0    MM   MM     MM
44258    44.500  -63.400 2024 10 18 23 00  10   5.0   6.0  0.4   5   MM  MM 1029.4  +1.7  12.6  13.7    MM   MM     MM
44488    45.440  -60.950 2024 10 18 23 00  10   8.0   9.0  0.3   4   MM  MM 1028.5  +1.1   9.1  11.2    MM   MM     MM
44489    45.490  -61.140 2024 10 18 23 00  20   8.0   9.0  0.3   3   MM  MM 1028.5  +1.4   9.3  10.2    MM   MM     MM
45001    48.061  -87.793 2024 10 18 23 00 160   4.0   5.0   MM  MM   MM  MM 1021.8  -0.0  12.4    MM   9.7   MM     MM
45002    45.344  -86.411 2024 10 18 23 00 190  12.0  15.0   MM  MM   MM  MM 1028.7  +0.2  15.0  15.1   9.7   MM     MM
45003    45.351  -82.840 2024 10 18 23 00 190   7.0   9.0   MM  MM   MM  MM 1030.7    MM  14.4  13.9  10.3   MM     MM
45004    47.585  -86.585 2024 10 18 23 00 170   8.0  10.0   MM  MM   MM  MM 1023.8  +0.0  13.3  10.6   8.4   MM     MM
45005    41.677  -82.398 2024 10 18 23 00  60   3.0   4.0   MM  MM   MM  MM 1032.8  -0.0  15.6  17.0   7.8   MM     MM
45006    47.335  -89.793 2024 10 18 23 00  70   1.0   2.0   MM  MM   MM  MM 1021.6  +1.0  12.3  11.0   7.5   MM     MM
45007    42.674  -87.026 2024 10 18 23 00 160   5.0   6.0   MM  MM   MM  MM 1030.9  +0.0  16.3  16.4   9.2   MM     MM
45008    44.283  -82.416 2024 10 18 23 00 170   7.0   9.0   MM  MM   MM  MM 1032.1  -0.0  15.7    MM    MM   MM     MM
45012    43.621  -77.401 2024 10 18 23 00 210   2.0   3.0   MM  MM   MM  MM 1033.9  +0.4  13.6  14.4   9.7   MM     MM
45022    45.404  -85.088 2024 10 18 23 10 260   2.0   3.0  0.4   5   MM 259 1029.5    MM  13.9  12.9  11.3   MM     MM
45023    47.270  -88.607 2024 10 18 23 00 170   5.0    MM  0.3   4   MM  MM 1021.0  +1.0  19.3  13.0   9.6   MM     MM
45024    43.977  -86.560 2024 10 18 23 10 180   6.0   8.0  1.1   6   MM 212 1030.6    MM  13.5  11.5  10.4   MM     MM
45026    41.982  -86.619 2024 10 18 23 00 170   2.0   3.0  0.3   3   MM 257 1031.2  +0.0  18.1  17.4   8.5   MM     MM
45027    46.860  -91.930 2024 10 18 23 00 200   2.0    MM  0.0  MM   MM   0 1020.5  +0.5  14.2   9.5   7.6   MM     MM
45029    42.900  -86.272 2024 10 18 23 00 230   3.0   4.0  0.6   5   MM 225 1029.2  +0.0  16.0  16.6   9.9   MM     MM
45132    42.460  -81.220 2024 10 18 23 00 240   1.0   2.0  0.3   3   MM  MM 1033.3  -0.1  15.3  17.0    MM   MM     MM
45135    43.780  -76.870 2024 10 18 23 00 260   3.0   4.0  0.3   3   MM  MM 1033.4  +0.3  14.0  14.9    MM   MM     MM
45136    48.540  -86.950 2024 10 18 23 00 140   6.0   8.0  1.1   5   MM  MM 1022.5  -0.2  11.8  10.5    MM   MM     MM
45137    45.540  -81.020 2024 10 18 23 00 210   6.0   7.0  0.6   3   MM  MM 1031.9  +0.2  13.8  12.9    MM   MM     MM
45139    43.250  -79.530 2024 10 18 23 00 190   4.0   5.0   MM   2   MM  MM 1033.2  +0.3  15.7  15.5    MM   MM     MM
45140    50.800  -96.730 2024 10 18 23 00 240   3.0    MM  0.1   2   MM  MM     MM    MM  10.6    MM    MM   MM     MM
45142    42.740  -79.290 2024 10 18 23 00 250   3.0   3.0  0.2   3   MM  MM 1033.7  +0.0  14.8  16.4    MM   MM     MM
45143    44.940  -80.627 2024 10 18 23 00 250   5.0   6.0  0.4   3   MM  MM 1032.5  +0.3  15.0  14.1    MM   MM     MM
45147    42.430  -82.680 2024 10 18 23 00 140   3.0    MM  0.1   2   MM  MM 1032.3  -0.2  14.6  14.3    MM   MM     MM
45149    43.540  -82.080 2024 10 18 23 00 190   5.0    MM  0.3   2   MM  MM 1032.3  -0.1  16.4  16.2    MM   MM     MM
45151    44.500  -79.370 2024 10 18 23 00 150   3.0    MM  0.0   2   MM  MM 1032.9  +0.2  15.2  14.5    MM   MM     MM
45152    46.230  -79.720 2024 10 18 23 00 210   3.0    MM  0.2   2   MM  MM 1031.6  +0.8  13.5  12.4    MM   MM     MM
45154    46.050  -82.640 2024 10 18 23 00 190   6.0    MM  0.3   2   MM  MM 1030.4  +0.2  13.8    MM    MM   MM     MM
45159    43.770  -78.980 2024 10 18 23 00 210   2.0   3.0  0.2   2   MM  MM 1033.1  +0.4  15.4  14.5    MM   MM     MM
45161    43.185  -86.352 2024 10 18 22 40  MM    MM    MM  0.9   6   MM 274     MM    MM    MM    MM    MM   MM     MM
45162    44.990  -83.271 2024 10 18 23 00 180   7.0   9.0  0.6   3   MM 175 1028.8  -0.3  14.5  13.2    MM   MM     MM
45164    41.748  -81.698 2024 10 18 23 00  60   3.0   4.0  0.1  MM   MM  MM     MM    MM  16.1  17.9    MM   MM     MM
45165    41.702  -83.261 2024 10 18 23 00  80   3.0   4.0  0.2  MM   MM 118     MM    MM  14.9  14.4    MM   MM     MM
45170    41.755  -86.968 2024 10 18 23 10 120   2.0   3.0  0.2  MM   MM 229 1030.8    MM  17.7    MM    MM   MM     MM
45174    42.135  -87.655 2024 10 18 23 00 110   4.0   5.0  0.4   3   MM 134 1028.5  -0.0  17.2  16.6  11.9   MM     MM
45176    41.550  -81.765 2024 10 18 23 00  70   4.0   5.0  0.2  MM   MM  32 1031.8  -0.0  16.0  17.2   8.9   MM     MM
45186    42.368  -87.795 2024 10 18 23 10 170   5.0   6.0  0.5   3   MM  MM     MM    MM  16.9  15.6    MM   MM     MM
45187    42.491  -87.779 2024 10 18 23 10 140   5.0   8.0  0.7   4   MM 174     MM    MM  16.8  15.6    MM   MM     MM
45194    45.804  -84.792 2024 10 18 23 00  MM    MM    MM  0.4   3  2.5 271     MM    MM  14.3  13.2    MM   MM     MM
